body_part,symptom_keyword,severity_modifier,time_course_modifier,body_side_modifier,associated_symptom,population_risk,red_flag_question,emergency_if_yes,rationale,question_priority,clinical_context
head,ปวดหัว,mild,subacute,right,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดด้านขวาหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Subacute mild right ปวดหัว
head,ปวดหัว,mild,subacute,bilateral,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดทั้งสองข้างหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Subacute mild bilateral ปวดหัว
head,ปวดหัว,mild,subacute,central,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Subacute mild central ปวดหัว
head,ปวดหัว,mild,progressive,left,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดแย่ลงเรื่อยๆด้านซ้ายหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,2,Progressive mild left ปวดหัว
head,ปวดหัว,mild,progressive,right,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดแย่ลงเรื่อยๆด้านขวาหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,2,Progressive mild right ปวดหัว
head,ปวดหัว,mild,progressive,bilateral,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดแย่ลงเรื่อยๆทั้งสองข้างหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,2,Progressive mild bilateral ปวดหัว
head,ปวดหัว,mild,progressive,central,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดแย่ลงเรื่อยๆหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,2,Progressive mild central ปวดหัว
head,ปวดหัว,mild,recurrent,left,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดเป็นๆ หายๆด้านซ้ายหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Recurrent mild left ปวดหัว
head,ปวดหัว,mild,recurrent,right,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดเป็นๆ หายๆด้านขวาหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Recurrent mild right ปวดหัว
head,ปวดหัว,mild,recurrent,bilateral,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดเป็นๆ หายๆทั้งสองข้างหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Recurrent mild bilateral ปวดหัว
head,ปวดหัว,mild,recurrent,central,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดเป็นๆ หายๆหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Recurrent mild central ปวดหัว
head,ปวดหัว,severe,acute,left,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากเกิดขึ้นทันทีด้านซ้ายหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,1,Acute severe left ปวดหัว
head,ปวดหัว,severe,acute,right,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากเกิดขึ้นทันทีด้านขวาหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,1,Acute severe right ปวดหัว
head,ปวดหัว,severe,acute,bilateral,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากเกิดขึ้นทันทีทั้งสองข้างหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,1,Acute severe bilateral ปวดหัว
head,ปวดหัว,severe,acute,central,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากเกิดขึ้นทันทีหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,1,Acute severe central ปวดหัว
head,ปวดหัว,severe,subacute,left,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากด้านซ้ายหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Subacute severe left ปวดหัว
head,ปวดหัว,severe,subacute,right,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากด้านขวาหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Subacute severe right ปวดหัว
head,ปวดหัว,severe,subacute,bilateral,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากทั้งสองข้างหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Subacute severe bilateral ปวดหัว
head,ปวดหัว,severe,subacute,central,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Subacute severe central ปวดหัว
head,ปวดหัว,severe,progressive,left,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากแย่ลงเรื่อยๆด้านซ้ายหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,2,Progressive severe left ปวดหัว
head,ปวดหัว,severe,progressive,right,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากแย่ลงเรื่อยๆด้านขวาหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,2,Progressive severe right ปวดหัว
head,ปวดหัว,severe,progressive,bilateral,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากแย่ลงเรื่อยๆทั้งสองข้างหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,2,Progressive severe bilateral ปวดหัว
head,ปวดหัว,severe,progressive,central,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากแย่ลงเรื่อยๆหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,2,Progressive severe central ปวดหัว
head,ปวดหัว,severe,recurrent,left,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากเป็นๆ หายๆด้านซ้ายหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Recurrent severe left ปวดหัว
head,ปวดหัว,severe,recurrent,right,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากเป็นๆ หายๆด้านขวาหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Recurrent severe right ปวดหัว
head,ปวดหัว,severe,recurrent,bilateral,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากเป็นๆ หายๆทั้งสองข้างหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Recurrent severe bilateral ปวดหัว
head,ปวดหัว,severe,recurrent,central,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากเป็นๆ หายๆหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Recurrent severe central ปวดหัว
head,ปวดหัว,moderate,acute,central,fever,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดเกิดขึ้นทันทีร่วมกับไข้สูงหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,1,fever + ปวดหัว → Higher emergency risk
head,ปวดหัว,moderate,progressive,central,fever,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดแย่ลงเรื่อยๆร่วมกับไข้สูงหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,1,fever + ปวดหัว → Higher emergency risk
head,ปวดหัว,severe,acute,central,fever,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากเกิดขึ้นทันทีร่วมกับไข้สูงหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,1,fever + ปวดหัว → Higher emergency risk
head,ปวดหัว,severe,progressive,central,fever,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากแย่ลงเรื่อยๆร่วมกับไข้สูงหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,1,fever + ปวดหัว → Higher emergency risk
head,ปวดหัว,moderate,acute,central,,elderly,ผู้สูงอายุปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดเกิดขึ้นทันทีหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,1,Elderly + ปวดหัว → Lower threshold
head,ปวดหัว,moderate,progressive,central,,elderly,ผู้สูงอายุปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดแย่ลงเรื่อยๆหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,1,Elderly + ปวดหัว → Lower threshold
head,ปวดหัว,severe,acute,central,,elderly,ผู้สูงอายุปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากเกิดขึ้นทันทีหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,1,Elderly + ปวดหัว → Lower threshold
head,ปวดหัว,severe,progressive,central,,elderly,ผู้สูงอายุปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดรุนแรงมากแย่ลงเรื่อยๆหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,1,Elderly + ปวดหัว → Lower threshold
head,ปวดหัว,mild,acute,left,,general,มีไข้สูงและคอแข็งร่วมด้วยเกิดขึ้นทันทีด้านซ้ายหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Acute mild left ปวดหัว
head,ปวดหัว,mild,acute,right,,general,มีไข้สูงและคอแข็งร่วมด้วยเกิดขึ้นทันทีด้านขวาหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Acute mild right ปวดหัว
head,ปวดหัว,mild,acute,bilateral,,general,มีไข้สูงและคอแข็งร่วมด้วยเกิดขึ้นทันทีทั้งสองข้างหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Acute mild bilateral ปวดหัว
head,ปวดหัว,mild,acute,central,,general,มีไข้สูงและคอแข็งร่วมด้วยเกิดขึ้นทันทีหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Acute mild central ปวดหัว
head,ปวดหัว,mild,subacute,left,,general,มีไข้สูงและคอแข็งร่วมด้วยด้านซ้ายหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Subacute mild left ปวดหัว
head,ปวดหัว,mild,subacute,right,,general,มีไข้สูงและคอแข็งร่วมด้วยด้านขวาหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Subacute mild right ปวดหัว
head,ปวดหัว,mild,subacute,bilateral,,general,มีไข้สูงและคอแข็งร่วมด้วยทั้งสองข้างหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Subacute mild bilateral ปวดหัว
head,ปวดหัว,mild,subacute,central,,general,มีไข้สูงและคอแข็งร่วมด้วยหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Subacute mild central ปวดหัว
head,ปวดหัว,mild,progressive,left,,general,มีไข้สูงและคอแข็งร่วมด้วยแย่ลงเรื่อยๆด้านซ้ายหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,2,Progressive mild left ปวดหัว
head,ปวดหัว,mild,progressive,right,,general,มีไข้สูงและคอแข็งร่วมด้วยแย่ลงเรื่อยๆด้านขวาหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,2,Progressive mild right ปวดหัว
head,ปวดหัว,mild,progressive,bilateral,,general,มีไข้สูงและคอแข็งร่วมด้วยแย่ลงเรื่อยๆทั้งสองข้างหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,2,Progressive mild bilateral ปวดหัว
head,ปวดหัว,mild,progressive,central,,general,มีไข้สูงและคอแข็งร่วมด้วยแย่ลงเรื่อยๆหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,2,Progressive mild central ปวดหัว
head,ปวดหัว,mild,recurrent,left,,general,มีไข้สูงและคอแข็งร่วมด้วยเป็นๆ หายๆด้านซ้ายหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Recurrent mild left ปวดหัว
head,ปวดหัว,mild,recurrent,right,,general,มีไข้สูงและคอแข็งร่วมด้วยเป็นๆ หายๆด้านขวาหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Recurrent mild right ปวดหัว
head,ปวดหัว,mild,recurrent,bilateral,,general,มีไข้สูงและคอแข็งร่วมด้วยเป็นๆ หายๆทั้งสองข้างหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Recurrent mild bilateral ปวดหัว
head,ปวดหัว,mild,recurrent,central,,general,มีไข้สูงและคอแข็งร่วมด้วยเป็นๆ หายๆหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Recurrent mild central ปวดหัว
head,ปวดหัว,severe,acute,left,,general,มีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากเกิดขึ้นทันทีด้านซ้ายหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,1,Acute severe left ปวดหัว
head,ปวดหัว,severe,acute,right,,general,มีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากเกิดขึ้นทันทีด้านขวาหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,1,Acute severe right ปวดหัว
head,ปวดหัว,severe,acute,bilateral,,general,มีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากเกิดขึ้นทันทีทั้งสองข้างหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,1,Acute severe bilateral ปวดหัว
head,ปวดหัว,severe,acute,central,,general,มีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากเกิดขึ้นทันทีหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,1,Acute severe central ปวดหัว
head,ปวดหัว,severe,subacute,left,,general,มีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากด้านซ้ายหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Subacute severe left ปวดหัว
head,ปวดหัว,severe,subacute,right,,general,มีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากด้านขวาหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Subacute severe right ปวดหัว
head,ปวดหัว,severe,subacute,bilateral,,general,มีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากทั้งสองข้างหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Subacute severe bilateral ปวดหัว
head,ปวดหัว,severe,subacute,central,,general,มีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Subacute severe central ปวดหัว
head,ปวดหัว,severe,progressive,left,,general,มีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากแย่ลงเรื่อยๆด้านซ้ายหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,2,Progressive severe left ปวดหัว
head,ปวดหัว,severe,progressive,right,,general,มีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากแย่ลงเรื่อยๆด้านขวาหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,2,Progressive severe right ปวดหัว
head,ปวดหัว,severe,progressive,bilateral,,general,มีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากแย่ลงเรื่อยๆทั้งสองข้างหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,2,Progressive severe bilateral ปวดหัว
head,ปวดหัว,severe,progressive,central,,general,มีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากแย่ลงเรื่อยๆหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,2,Progressive severe central ปวดหัว
head,ปวดหัว,severe,recurrent,left,,general,มีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากเป็นๆ หายๆด้านซ้ายหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Recurrent severe left ปวดหัว
head,ปวดหัว,severe,recurrent,right,,general,มีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากเป็นๆ หายๆด้านขวาหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Recurrent severe right ปวดหัว
head,ปวดหัว,severe,recurrent,bilateral,,general,มีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากเป็นๆ หายๆทั้งสองข้างหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Recurrent severe bilateral ปวดหัว
head,ปวดหัว,severe,recurrent,central,,general,มีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากเป็นๆ หายๆหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,3,Recurrent severe central ปวดหัว
head,ปวดหัว,moderate,acute,central,weakness,general,มีไข้สูงและคอแข็งร่วมด้วยเกิดขึ้นทันทีร่วมกับอ่อนแรงหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,1,weakness + ปวดหัว → Higher emergency risk
head,ปวดหัว,moderate,progressive,central,weakness,general,มีไข้สูงและคอแข็งร่วมด้วยแย่ลงเรื่อยๆร่วมกับอ่อนแรงหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,1,weakness + ปวดหัว → Higher emergency risk
head,ปวดหัว,severe,acute,central,weakness,general,มีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากเกิดขึ้นทันทีร่วมกับอ่อนแรงหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,1,weakness + ปวดหัว → Higher emergency risk
head,ปวดหัว,severe,progressive,central,weakness,general,มีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากแย่ลงเรื่อยๆร่วมกับอ่อนแรงหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,1,weakness + ปวดหัว → Higher emergency risk
head,ปวดหัว,moderate,acute,central,,elderly,ผู้สูงอายุมีไข้สูงและคอแข็งร่วมด้วยเกิดขึ้นทันทีหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,1,Elderly + ปวดหัว → Lower threshold
head,ปวดหัว,moderate,progressive,central,,elderly,ผู้สูงอายุมีไข้สูงและคอแข็งร่วมด้วยแย่ลงเรื่อยๆหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,1,Elderly + ปวดหัว → Lower threshold
head,ปวดหัว,severe,acute,central,,elderly,ผู้สูงอายุมีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากเกิดขึ้นทันทีหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,1,Elderly + ปวดหัว → Lower threshold
head,ปวดหัว,severe,progressive,central,,elderly,ผู้สูงอายุมีไข้สูงและคอแข็งร่วมด้วยรุนแรงมากแย่ลงเรื่อยๆหรือไม่,yes,อาจเป็นเยื่อหุ้มสมองอักเสบ,1,Elderly + ปวดหัว → Lower threshold
head,เวียนหัว,mild,acute,left,,general,เวียนหัวร่วมกับอ่อนแรงครึ่งซีกเกิดขึ้นทันทีด้านซ้ายหรือไม่,yes,สงสัย Stroke,3,Acute mild left เวียนหัว
head,เวียนหัว,mild,acute,right,,general,เวียนหัวร่วมกับอ่อนแรงครึ่งซีกเกิดขึ้นทันทีด้านขวาหรือไม่,yes,สงสัย Stroke,3,Acute mild right เวียนหัว
head,เวียนหัว,mild,acute,bilateral,,general,เวียนหัวร่วมกับอ่อนแรงครึ่งซีกเกิดขึ้นทันทีทั้งสองข้างหรือไม่,yes,สงสัย Stroke,3,Acute mild bilateral เวียนหัว
head,เวียนหัว,mild,acute,central,,general,เวียนหัวร่วมกับอ่อนแรงครึ่งซีกเกิดขึ้นทันทีหรือไม่,yes,สงสัย Stroke,3,Acute mild central เวียนหัว
head,เวียนหัว,mild,subacute,left,,general,เวียนหัวร่วมกับอ่อนแรงครึ่งซีกด้านซ้ายหรือไม่,yes,สงสัย Stroke,3,Subacute mild left เวียนหัว
head,เวียนหัว,mild,subacute,right,,general,เวียนหัวร่วมกับอ่อนแรงครึ่งซีกด้านขวาหรือไม่,yes,สงสัย Stroke,3,Subacute mild right เวียนหัว
head,เวียนหัว,mild,subacute,bilateral,,general,เวียนหัวร่วมกับอ่อนแรงครึ่งซีกทั้งสองข้างหรือไม่,yes,สงสัย Stroke,3,Subacute mild bilateral เวียนหัว
